vendor_id,vendor_name,vendor_type,state,preferred_vendor_flag,average_approval_hours,monthly_capacity_jobs,effective_at,updated_at
MNT-VEN-001,Synthetic Service Network 01,Dealer,TAS,N,10.2,356,2026-05-24T14:59:00,2026-05-25T08:01:00
MNT-VEN-002,Synthetic Service Network 02,Tyre Network,SA,Y,7.2,384,2026-05-24T14:58:00,2026-05-25T08:02:00
MNT-VEN-003,Synthetic Service Network 03,Tyre Network,TAS,N,3.2,99,2026-05-24T14:57:00,2026-05-25T08:03:00
MNT-VEN-004,Synthetic Service Network 04,Tyre Network,TAS,Y,2.0,238,2026-05-24T14:56:00,2026-05-25T08:04:00
MNT-VEN-005,Synthetic Service Network 05,Glass Repair,QLD,Y,4.9,135,2026-05-24T14:55:00,2026-05-25T08:05:00
MNT-VEN-006,Synthetic Service Network 06,Glass Repair,QLD,Y,2.3,187,2026-05-24T14:54:00,2026-05-25T08:06:00
MNT-VEN-007,Synthetic Service Network 07,Tyre Network,QLD,N,10.2,357,2026-05-24T14:53:00,2026-05-25T08:07:00
MNT-VEN-008,Synthetic Service Network 08,Dealer,TAS,N,6.0,139,2026-05-24T14:52:00,2026-05-25T08:08:00
MNT-VEN-009,Synthetic Service Network 09,Glass Repair,NT,N,8.3,253,2026-05-25T14:59:00,2026-05-26T08:01:00
MNT-VEN-010,Synthetic Service Network 10,Glass Repair,NT,N,1.4,56,2026-05-25T14:58:00,2026-05-26T08:02:00
MNT-VEN-011,Synthetic Service Network 11,Tyre Network,SA,N,3.6,316,2026-05-25T14:57:00,2026-05-26T08:03:00
MNT-VEN-012,Synthetic Service Network 12,Independent Workshop,QLD,N,7.0,294,2026-05-25T14:56:00,2026-05-26T08:04:00
MNT-VEN-013,Synthetic Service Network 13,Mobile Service,VIC,Y,1.7,319,2026-05-25T14:55:00,2026-05-26T08:05:00
MNT-VEN-014,Synthetic Service Network 14,Independent Workshop,NSW,Y,5.5,152,2026-05-25T14:54:00,2026-05-26T08:06:00
MNT-VEN-015,Synthetic Service Network 15,Glass Repair,VIC,Y,10.0,425,2026-05-25T14:53:00,2026-05-26T08:07:00
MNT-VEN-016,Synthetic Service Network 16,Tyre Network,SA,N,5.6,219,2026-05-25T14:52:00,2026-05-26T08:08:00
MNT-VEN-017,Synthetic Service Network 17,Dealer,NT,Y,9.4,156,2021-04-16T00:00:00,2021-08-01T00:00:00
MNT-VEN-018,Synthetic Service Network 18,Tyre Network,TAS,N,7.5,254,2021-05-03T00:00:00,2021-08-19T00:00:00
MNT-VEN-019,Synthetic Service Network 19,Tyre Network,QLD,Y,9.8,65,2021-05-20T00:00:00,2021-09-06T00:00:00
MNT-VEN-020,Synthetic Service Network 20,Mobile Service,TAS,N,3.7,310,2021-06-06T00:00:00,2021-09-24T00:00:00
MNT-VEN-021,Synthetic Service Network 21,Tyre Network,TAS,N,3.8,328,2021-06-23T00:00:00,2021-10-12T00:00:00
MNT-VEN-022,Synthetic Service Network 22,Independent Workshop,VIC,Y,11.6,245,2021-07-10T00:00:00,2021-10-30T00:00:00
MNT-VEN-023,Synthetic Service Network 23,Dealer,SA,N,1.9,102,2021-07-27T00:00:00,2021-11-17T00:00:00
