driver_app_event_id,vehicle_id,client_id,event_datetime,app_event_type,device_platform,completion_status,session_duration_seconds
APP-0000001,VEH-00040,CLI-0008,2025-03-31T08:00:00,Fuel PIN Reset,Android,Completed,544
APP-0000002,VEH-00121,CLI-0011,2026-04-23T09:00:00,Odometer Update,iOS,Completed,226
APP-0000003,VEH-00136,CLI-0010,2025-07-28T17:00:00,Damage Report,iOS,Completed,345
APP-0000004,VEH-00121,CLI-0011,2026-03-21T01:00:00,EV Charge Receipt,iOS,Failed,40
APP-0000005,VEH-00063,CLI-0016,2025-07-29T06:00:00,Odometer Update,Mobile Web,Abandoned,294
APP-0000006,VEH-00040,CLI-0008,2026-04-15T06:00:00,Registration Reminder,Mobile Web,Failed,82
APP-0000007,VEH-00045,CLI-0013,2025-01-24T22:00:00,Fuel PIN Reset,Mobile Web,Completed,573
APP-0000008,VEH-00137,CLI-0010,2025-04-25T00:00:00,Registration Reminder,Android,Completed,237
APP-0000009,VEH-00069,CLI-0004,2025-12-09T18:00:00,Odometer Update,Mobile Web,Failed,673
APP-0000010,VEH-00017,CLI-0017,2026-02-26T19:00:00,Damage Report,Mobile Web,Failed,609
APP-0000011,VEH-00125,CLI-0011,2025-03-11T08:00:00,Fuel PIN Reset,iOS,Abandoned,132
APP-0000012,VEH-00054,CLI-0015,2025-07-05T12:00:00,Registration Reminder,Android,Completed,325
APP-0000013,VEH-00082,CLI-0005,2026-04-14T01:00:00,Damage Report,iOS,Abandoned,406
APP-0000014,VEH-00126,CLI-0017,2025-06-03T16:00:00,Odometer Update,Mobile Web,Abandoned,530
APP-0000015,VEH-00058,CLI-0018,2025-10-21T08:00:00,EV Charge Receipt,iOS,Abandoned,618
APP-0000016,VEH-00141,CLI-0011,2025-01-24T04:00:00,EV Charge Receipt,Android,Completed,192
APP-0000017,VEH-00065,CLI-0002,2025-05-19T04:00:00,EV Charge Receipt,iOS,Completed,112
APP-0000018,VEH-00091,CLI-0015,2026-04-12T16:00:00,Registration Reminder,iOS,Abandoned,553
APP-0000019,VEH-00072,CLI-0014,2025-11-09T00:00:00,Damage Report,iOS,Abandoned,177
APP-0000020,VEH-00011,CLI-0016,2025-04-27T03:00:00,Registration Reminder,Mobile Web,Failed,700
APP-0000021,VEH-00118,CLI-0005,2025-08-30T09:00:00,Registration Reminder,Android,Failed,391
APP-0000022,VEH-00094,CLI-0013,2026-05-05T03:00:00,EV Charge Receipt,Android,Completed,545
APP-0000023,VEH-00109,CLI-0012,2026-01-13T08:00:00,EV Charge Receipt,Mobile Web,Completed,226
APP-0000024,VEH-00001,CLI-0009,2025-09-14T16:00:00,EV Charge Receipt,iOS,Abandoned,676
APP-0000025,VEH-00134,CLI-0004,2026-03-24T12:00:00,EV Charge Receipt,Mobile Web,Abandoned,128
APP-0000026,VEH-00147,CLI-0011,2025-08-04T05:00:00,Service Booking,Mobile Web,Completed,192
APP-0000027,VEH-00110,CLI-0014,2025-01-16T23:00:00,EV Charge Receipt,Android,Failed,657
APP-0000028,VEH-00072,CLI-0014,2025-03-26T14:00:00,Damage Report,Android,Abandoned,548
APP-0000029,VEH-00054,CLI-0015,2025-02-20T14:00:00,Service Booking,Mobile Web,Completed,413
APP-0000030,VEH-00104,CLI-0017,2025-04-04T18:00:00,Service Booking,Mobile Web,Completed,400
APP-0000031,VEH-00024,CLI-0014,2026-02-20T16:00:00,Odometer Update,Android,Completed,321
APP-0000032,VEH-00038,CLI-0004,2026-03-30T12:00:00,Fuel PIN Reset,Android,Abandoned,444
APP-0000033,VEH-00141,CLI-0011,2025-10-31T00:00:00,Damage Report,iOS,Completed,156
APP-0000034,VEH-00118,CLI-0005,2026-01-07T04:00:00,Service Booking,Mobile Web,Failed,141
APP-0000035,VEH-00116,CLI-0014,2025-11-16T16:00:00,Registration Reminder,iOS,Completed,195
APP-0000036,VEH-00059,CLI-0007,2025-08-30T21:00:00,Registration Reminder,iOS,Completed,458
APP-0000037,VEH-00081,CLI-0005,2026-02-26T08:00:00,EV Charge Receipt,Mobile Web,Failed,76
APP-0000038,VEH-00142,CLI-0003,2025-05-24T14:00:00,Damage Report,Mobile Web,Abandoned,285
