telematics_event_id,vehicle_id,client_id,telematics_device_id,device_firmware_version,event_date,provider_name,distance_km,idle_minutes,harsh_events_count,gps_fix_rate_pct
TEL-0000001,VEH-00078,CLI-0003,TELDEV-000078,4.2.1,2026-03-01,Synthetic OEM Connect,19.4,66,4,95.91
TEL-0000002,VEH-00078,CLI-0003,TELDEV-000078,4.3.0,2026-03-02,Synthetic GPS Cloud,242.4,88,5,94.27
TEL-0000003,VEH-00078,CLI-0003,TELDEV-000078,4.3.0,2026-03-03,Synthetic Safety Telematics,226.0,26,1,95.95
TEL-0000004,VEH-00078,CLI-0003,TELDEV-000078,4.2.1,2026-03-04,Synthetic GPS Cloud,15.4,18,4,98.27
TEL-0000005,VEH-00078,CLI-0003,TELDEV-000078,4.2.1,2026-03-05,Synthetic GPS Cloud,252.9,27,5,91.33
TEL-0000006,VEH-00078,CLI-0003,TELDEV-000078,5.0.2,2026-03-06,Synthetic Safety Telematics,177.2,70,4,91.13
TEL-0000007,VEH-00078,CLI-0003,TELDEV-000078,5.0.2,2026-03-07,Synthetic GPS Cloud,168.0,10,4,96.12
TEL-0000008,VEH-00078,CLI-0003,TELDEV-000078,5.0.2,2026-03-08,Synthetic GPS Cloud,225.1,9,4,99.94
TEL-0000009,VEH-00078,CLI-0003,TELDEV-000078,5.0.2,2026-03-09,Synthetic Safety Telematics,80.9,47,2,93.04
TEL-0000010,VEH-00078,CLI-0003,TELDEV-000078,4.2.1,2026-03-10,Synthetic OEM Connect,416.8,55,6,88.31
TEL-0000011,VEH-00078,CLI-0003,TELDEV-000078,5.0.2,2026-03-11,Synthetic GPS Cloud,32.6,15,1,96.21
TEL-0000012,VEH-00078,CLI-0003,TELDEV-000078,4.3.0,2026-03-12,Synthetic GPS Cloud,138.3,11,5,98.91
TEL-0000013,VEH-00078,CLI-0003,TELDEV-000078,4.3.0,2026-03-13,Synthetic GPS Cloud,364.9,28,4,88.12
